编号,今地名,古地名,地点名胜,经度,纬度
00632207c0b839599259c617be4d5318,灵宝市,京畿道,王濬墓,110.8795605,34.5453526
05c754a9743fa4831d7a410d6c25d2cb,灵宝,河东道,函谷关,110.9096637,34.6129387
0b1aac16c499142e00e7cb843c5cf56d,灵宝市,河南道,,110.8795605,34.5453526
c379a77707e96e92ddfc4e64eb80f1ba,灵宝,,,110.8906495,34.5106864
ae0d2d68bf592ada3df62a4633b336fa,灵宝,,磐石寺,110.8906495,34.5106864
5a10c591c615c51a23254bd6b73e735f,灵宝,,函谷关,110.9096637,34.6129387
49560779dbcd55e47005d571c7cbfa0d,灵宝,京畿道,,110.8906495,34.5106864
cfa8e8aeffab62d63ca9405c3d130839,灵宝,河东道,灵宝观,110.8906495,34.5106864
07e3cb21e5fc42792e0c35eab81f6510,灵宝,河东道,桃林,110.8672800,34.5264909
2bc25cf6872814de21c45b7be43def0f,灵宝,河南道,,110.8906495,34.5106864
f93ff16d4ad54e4c087124dba4e3ca47,灵宝,河南道,望思台,108.3830331,21.7928180
322b1c1a8fc825c8ae1eae566073f8c2,灵宝,都畿道,稠桑驿,110.8906495,34.5106864
c51319df3653a88226e018ccb2302b5b,灵宝,河东道,柏谷山王浚墓,110.8906495,34.5106864
1b6d2cef357c56aba78010046680d67c,灵宝市,,,110.8795605,34.5453526
bae81754e970d208b0653bb2419c5dfb,灵宝,河东道,荆山；女几；轩辕；嵩高,110.8906495,34.5106864
2542ac6b651cd01c183ba8cc6b7aca96,陕县,京畿道,,111.3734350,34.6689381
24581d3cede554a6f7f254295b7a7823,陕县,京畿道,河上公庙,119.4066973,36.8434938
5e77b93124ce27da3454dcc64605d22d,陕县,都畿道,,111.3734350,34.6689381
b37800ca7fd104fb2f4fe4ba98d657ec,灵宝市故县镇,河南道,,110.5450000,34.5453000
4efdcc73429b7480f8a23d6c9c3c03d4,渑池,都畿道,,111.7810124,34.7542621
2ff797440911c0190d5cdd39410880af,义乌,江南东道,,120.0387041,29.3808375
17dfa73250f40a975a1e3a63b30f3805,金华,江南东道,,119.6486487,29.1080344
946602864e486472adda59f7a6749d4f,金华,江南东道,赤松山,119.6486487,29.1080344
76b54914bb24f18f9e32964a2305930f,金华,江南东道,凉泉寺,119.6486487,29.1080344
bdb07d7e44a88533e122a9abce0dbb69,金华,江南东道,金华山禅院,113.4144767,22.9899543
9e7f38f83c2446efe37e56856e2d83c2,金华,江南东道,西岘,105.2849001,30.9914409
7e971ed9d8bd585812403d3f61955bde,沁阳,都畿道,,112.9442720,35.2006010
5336d3396b97e92726d7e26759528ebb,孟州,,,112.7920963,34.9065165
9bab0adb0f13415a2ac4c8b576a5b356,孟县,都畿道,峡陵,135.7590566,34.9838259
4753080675ed84027a0eeb85e8feb286,孟县,都畿道,,116.5655183,33.2579409
8129d7b572c52be85301279fbcfb9b3f,孟县,都畿道,韩村,118.7512089,41.5027814
28a9b60a5582e4af16af074526a48897,武陟,都畿道,,113.4011621,35.0984028
d0c47e12c0aa523b8fe5c5c5a25c2e99,吉安,江南西道,,114.9613550,27.0937349
1dba35b283cbbfe4346a2b30441aeb3e,吉安,,,114.9613550,27.0937349
177234b688ee8c7e6772129c276755f1,万安,,,114.8165461,26.4745218
e179027a1321725330a61f018e5df3ce,滁州,淮南道,,118.3139455,32.3027377
d4cb428f5f0714e76c15d42af578644b,滁州,淮南道,庄周台或称观鱼台,118.3139455,32.3027377
fb0d94865f2ecd2f303ce32ba32cdb42,滁州,淮南道,西涧；琅琊山寺,118.3139455,32.3027377
c56deb25aefdee04070c0347ee01a7a7,滁州,,,118.3139455,32.3027377
fa0db48cb83654528a67f63f13172aa7,凤阳,,,117.6263425,32.9069515
15eb1fd75a1b987cb084915cceb2f0e5,潢川,淮南道,,115.0971579,32.1137085
fb0171a4dfdda38d976654e9e291ed2d,信阳,淮南道,,114.8533330,32.0750000
8e59ba4102c05677c50a72946bb23013,庐江,淮南道,,117.2828349,31.2592040
c981a39e60fc45301b803f40a3d10227,合肥,,,117.2814280,31.8665676
311fdf958ec5e8d5190ff478f5a6899e,合肥,淮南道,,117.2814280,31.8665676
94f0ebec56cb0af140ff42b6c518410d,合肥,淮南道,四顶山,117.4713081,31.6216781
23d5579afe853c6ab20826eb5b694fef,合肥,淮南道,姥山,120.4220632,36.1166370
80ebdfffe0aabe198ca1b99272239dbf,合肥,淮南道,半汤池,117.2814280,31.8665676
e98e032acc9e84515e746cb9f6964896,苏州,江南东道,,120.6212881,31.3111230
b7a42224a67f3661dcaef8949fc43636,苏州,江南东道,虎丘山,120.5763902,31.3375308
3f33cd1b94664aee4eaea34fd9eb31e4,苏州,江南东道,吴淞江,121.0606938,31.2698697
6fd01953632afe8af09f1bb8af3809ba,吴县,江南东道,太湖,99.4560531,15.3912084
e1768a5945a824aba051d13377ad8940,苏州,江南东道,姑苏台,120.5748613,31.2050040
e5d908810cd3dd7117293b16796c56e3,吴县,江南东道,,126.1163199,37.9080512
2cc3331c3911aa1be6cdd8d6795f9780,苏州,江南东道,姑苏台、阖闾墓、剑池、长洲、阊门、吴太伯庙,120.6212881,31.3111230
1fa1bba43d7040757a24eacbfaa75549,苏州,江南东道,前溪馆,136.9494598,35.1658989
0a1106c8506163bb220113a064d7540c,苏州,江南东道,重玄寺阁,120.6212881,31.3111230
cc1dbbfb6894c62cc64a796a2db170e4,苏州,江南东道,永定精舍,121.5325778,25.0512036
b3a00f28a63c99b0c1aa4be6681289e1,苏州,江南东道,灵岩山,120.4963240,31.2643762
bc5b96fcdcfa287dfde568902f055ee8,苏州,,,120.6212881,31.3111230
deca6d9652ca14bb1e367c286e302f20,苏州,江南东道,武丘寺,120.3102865,30.1720830
a5d4a9a095f3de8f182bc103eaf3fa8d,苏州,,虎丘,120.4290851,31.3312820
cef1203c1ae0fac5db1f177012c02ee9,苏州,江南东道,太湖,120.5748613,31.2050040
f73b928616aadbcdd62ee85ddee8f243,苏州,江南东道,灵严寺,120.4971399,31.2643301
bbb0e1d654429437edbd355ee3a3e94a,苏州,江南东道,报恩寺,120.4991706,31.0192915
0341e0abf8e999eb3d232c7b080a396e,苏州,淮南道,,120.6212881,31.3111230
05b30ed10189ff487693aafd5e57051e,苏州,江南东道,虎丘寺,120.5763549,31.3379949
c2ce91c01f8f3bcc70c4f7226a4c9735,苏州,江南东道,太湖;洞庭西山;林屋洞,120.6212881,31.3111230
f9f5497ad7282d462a83d971eeee88a9,苏州,江南东道,玉芝观,119.9376567,31.9350039
197dde4afa4e5e766d3f0e17038d6d2f,苏州,江南东道,虎丘山;望亭,120.6212881,31.3111230
071374c583e02653e7268103c42e2a67,苏州,江南东道,虎丘山寺,120.6212881,31.3111230
9e0d442996a28d1f7d78968f3fabbde8,苏州,江南东道,楞伽寺,120.0661211,31.6460715
